""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000002147.18"	1308	706	2044	2087	1240	1270
"ENSMUSG00000002190.13"	1480	914	1844	2168	1562	1726
"ENSMUSG00000002204.9"	75	25	60	55	72	65
"ENSMUSG00000002205.16"	2648	1232	3430	4157	3188	2979
"ENSMUSG00000002210.11"	3557	1836	4030	5183	3810	4342
"ENSMUSG00000002221.11"	6900	3023	7397	9165	6999	7756
"ENSMUSG00000002222.14"	19311	8956	23210	28352	19144	22085
"ENSMUSG00000002227.15"	638	349	745	945	685	806
"ENSMUSG00000002228.7"	66	35	125	88	391	141
"ENSMUSG00000002233.13"	1901	1089	1914	2775	2132	1650
"ENSMUSG00000002240.12"	0	0	0	0	0	0
"ENSMUSG00000002249.21"	293	117	374	366	342	337
"ENSMUSG00000002250.16"	3344	1764	3968	4523	3324	3765
"ENSMUSG00000002257.8"	264	137	317	418	301	323
"ENSMUSG00000002265.16"	31477	16650	34252	41748	26145	41545
"ENSMUSG00000002266.17"	437	380	330	721	309	564
"ENSMUSG00000002274.13"	8491	4307	10777	11103	9448	7761
"ENSMUSG00000002279.19"	1975	872	2535	2903	2076	2102
"ENSMUSG00000002280.11"	4063	1945	4778	5954	4032	4103
"ENSMUSG00000002289.16"	528	163	880	1011	934	394
"ENSMUSG00000002297.16"	180	86	180	183	203	160
"ENSMUSG00000002307.16"	2970	1302	3127	4168	3020	3310
"ENSMUSG00000002308.16"	1728	834	1963	2434	1815	1515
"ENSMUSG00000002319.16"	10293	4853	12433	14269	10017	12477
"ENSMUSG00000002320.15"	4253	1874	5093	6227	4378	4865
"ENSMUSG00000002324.8"	348	336	631	1130	715	729
"ENSMUSG00000002325.15"	904	485	1099	1365	947	908
"ENSMUSG00000002326.6"	1781	944	2394	2463	2014	1906
"ENSMUSG00000002329.7"	4493	2033	5776	6627	5110	4884
"ENSMUSG00000002332.16"	6961	3138	8183	9800	7077	7377
"ENSMUSG00000002341.8"	44444	20168	48928	57669	42688	53456
"ENSMUSG00000002342.17"	2823	1541	3801	4442	3467	3216
"ENSMUSG00000002343.11"	4318	2110	5076	5910	4362	4795
