""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"
"ENSMUSG00000000826.16"	53670.671752725	-0.0507721081805256	0.059148248234124	-0.858387352057435	0.390678609233925	0.999818703842646	"Dnajc5"
"ENSMUSG00000000827.18"	5661.73068198742	0.0344227680223203	0.0901348913568465	0.381902807049932	0.702533458098425	0.999818703842646	"Tpd52l2"
"ENSMUSG00000000838.17"	10399.5886647577	-0.0906932990105791	0.0751648418033372	-1.20659202939415	0.227589297854581	0.999818703842646	"Fmr1"
"ENSMUSG00000000861.15"	12905.0113626726	0.00249668376250787	0.0779014222119541	0.0320492706245451	0.97443275878172	0.999818703842646	"Bcl11a"
"ENSMUSG00000000869.12"	287.886945089324	0.484548564337756	0.276055928524836	1.755255056202	0.0792156903537415	0.999818703842646	"Il4"
"ENSMUSG00000000876.11"	2268.23054488413	-0.0350914837748613	0.0920663576590695	-0.381154252944473	0.70308879230373	0.999818703842646	"Pxmp4"
"ENSMUSG00000000881.12"	27378.3754432072	-0.0715416531611562	0.0786605064700745	-0.909499015091816	0.363086777466424	0.999818703842646	"Dlg3"
"ENSMUSG00000000884.17"	499.012594947451	0.0264497410350544	0.165456375041288	0.159859304474996	0.872991906496079	0.999818703842646	"Gnb1l"
"ENSMUSG00000000889.8"	130.746311167017	-0.808094844854984	0.490534005898226	-1.64737782730326	0.0994804099127845	0.999818703842646	"Dbh"
"ENSMUSG00000000901.17"	128.878604604153	0.0675131716383705	0.288422425444381	0.234077400654096	0.814924890262522	0.999818703842646	"Mmp11"
"ENSMUSG00000000902.13"	7517.82323418598	-0.0210200213251004	0.0687152255196332	-0.305900492447552	0.75968041100253	0.999818703842646	"Smarcb1"
"ENSMUSG00000000903.3"	10.0514878421269	0.189759643572432	1.20158512906257	0.157924427477291	0.874516349256303	0.999818703842646	"Vpreb3"
"ENSMUSG00000000915.15"	13879.3806530764	0.0495591738860231	0.0563647758488844	0.879257890049855	0.379261462513793	0.999818703842646	"Hip1r"
"ENSMUSG00000000916.15"	1208.76944722234	0.0438617852634902	0.114035786426541	0.384631760239097	0.700510259819404	0.999818703842646	"Nsun5"
"ENSMUSG00000000934.9"	1350.965498558	0.0842184998365596	0.106042097898717	0.794198733384156	0.427079745780421	0.999818703842646	"Top1mt"
"ENSMUSG00000000938.11"	0	NA	NA	NA	NA	NA	"Hoxa10"
"ENSMUSG00000000942.10"	1.70992196750048	-3.9567858259087	3.2011903346753	-1.23603579051479	0.216445260242491	NA	"Hoxa4"
"ENSMUSG00000000948.16"	1912.79927710428	-0.0879826863237164	0.195970852256042	-0.448958022638817	0.653461938476919	0.999818703842646	"Gm38393"
"ENSMUSG00000000957.11"	1585.76688765029	0.0419342219987893	0.105313027794794	0.398186462557128	0.690492744025123	0.999818703842646	"Mmp14"
"ENSMUSG00000000958.10"	259.649486936672	0.208590225374728	0.241864517104305	0.862425906338184	0.388453189674861	0.999818703842646	"Slc7a7"
"ENSMUSG00000000959.7"	5931.91427303495	-0.00093316481937205	0.0668424487397356	-0.0139606617795454	0.988861365328812	0.999818703842646	"Oxa1l"
"ENSMUSG00000000976.13"	1848.074899301	-0.0708196845572738	0.0950455562689239	-0.745113052491324	0.456203379130689	0.999818703842646	"Heatr6"
"ENSMUSG00000000982.5"	11.576250620609	-0.411491463625395	0.923015687299294	-0.445811993541954	0.655733057560116	0.999818703842646	"Ccl3"
"ENSMUSG00000000983.13"	59.4184264453552	-0.15680719739252	0.479118548771795	-0.327282668964686	0.74345409945293	0.999818703842646	"Wfdc18"
"ENSMUSG00000001014.6"	151.762816730849	0.278277139384065	0.245362021716878	1.13414919487894	0.256731970906459	0.999818703842646	"Icam4"
"ENSMUSG00000001016.12"	9645.74420812569	-0.0299851467986998	0.0767861523972548	-0.390502009315052	0.696165369797102	0.999818703842646	"Ilf2"
"ENSMUSG00000001017.15"	21795.1060877636	-0.0223158818503736	0.0609371525052799	-0.366211431498051	0.714207312713501	0.999818703842646	"Chtop"
"ENSMUSG00000001018.15"	5369.73985485442	0.0147204218077005	0.0911965496008782	0.161414240693583	0.87176715129195	0.999818703842646	"Snapin"
"ENSMUSG00000001020.8"	77.390167259837	0.0989566784006912	0.410421396338375	0.241109940377245	0.809469908714308	0.999818703842646	"S100a4"
"ENSMUSG00000001021.12"	60.7279002621063	0.264334759604769	0.418367249137929	0.631824695048302	0.527501434975508	0.999818703842646	"S100a3"
"ENSMUSG00000001023.10"	26.3531869245857	-1.86358470680051	1.12177305576307	-1.66128496064905	0.0966562290517493	0.999818703842646	"S100a5"
"ENSMUSG00000001025.8"	1522.10837119384	0.0412410979979043	0.13443697254579	0.306769017606799	0.759019192279897	0.999818703842646	"S100a6"
"ENSMUSG00000001027.7"	3.8139323734278	0.124895961553603	1.9429406333521	0.0642819237035174	0.948745746478139	0.999818703842646	"Scn4a"
"ENSMUSG00000001029.15"	221.546724319844	0.375141354425912	0.315400754924042	1.18941172007105	0.234277691114465	0.999818703842646	"Icam2"
"ENSMUSG00000001034.17"	2277.67340999317	0.0807991811344262	0.103944493848163	0.777330074380405	0.436964055920291	0.999818703842646	"Mapk7"
"ENSMUSG00000001036.17"	15701.027047601	0.0743838375883124	0.0703676646646503	1.05707412549218	0.290477758904892	0.999818703842646	"Epn2"
"ENSMUSG00000001039.12"	873.381800285248	-0.0554461298189886	0.121969149162943	-0.454591429058146	0.649403202049093	0.999818703842646	"B9d1"
"ENSMUSG00000001052.15"	6879.46946003407	0.00807367199823702	0.0835879490104997	0.0965889472562949	0.923052834263456	0.999818703842646	"Sec24b"
"ENSMUSG00000001053.15"	1355.55620543498	0.299548682376683	0.0981782310599341	3.05107027436479	0.00228027197801089	0.322294274780942	"N4bp3"
"ENSMUSG00000001054.9"	5922.4171446798	0.0571636475634751	0.065064015985565	0.878575456764877	0.379631508081817	0.999818703842646	"Rmnd5b"
"ENSMUSG00000001056.3"	3561.19285639088	0.0198462108808765	0.0850663814910444	0.23330263416654	0.815526413272592	0.999818703842646	"Nhp2"
"ENSMUSG00000001062.18"	6778.64927016011	-0.0370874797522614	0.0679797349693195	-0.545566701149977	0.585363818955361	0.999818703842646	"Vps9d1"
"ENSMUSG00000001065.15"	1811.97507629587	0.062402607375653	0.11592845981444	0.538285486372691	0.590379969696054	0.999818703842646	"Zfp276"
"ENSMUSG00000001076.7"	11.1050790966954	0.796658635349698	1.12019666629901	0.711177473846406	0.476974265726968	0.999818703842646	"C1ql4"
"ENSMUSG00000001082.12"	1384.2452697089	-0.0196616170156179	0.104334933464641	-0.188447113183631	0.850526170229789	0.999818703842646	"Mfsd10"
